neighborhood,latitude,longitude
Mission Hill,42.3594,-71.0587
Greater Mattapan,42.2977,-71.0878
Roxbury,42.3206,-71.0808
Dorchester,42.2829,-71.0649
South End,42.3394,-71.0797
Dorchester,42.2879,-71.0729
South End,42.3428,-71.0725
Allston / Brighton,42.3602,-71.1452
Jamaica Plain,42.3022,-71.1053
East Boston,42.3802,-71.0374
Allston / Brighton,42.3515,-71.1269
South End,42.3447,-71.0738
Charlestown,42.3594,-71.0587
Dorchester,42.3594,-71.0587
Back Bay,42.3444,-71.0806
South End,42.3431,-71.0729
Roxbury,42.3066,-71.0782
Allston / Brighton,42.3594,-71.0587
South Boston,42.3334,-71.0516
 ,42.3594,-71.0587
Back Bay,42.3486,-71.0703
East Boston,42.3779,-71.0297
South End,42.3439,-71.0745
South Boston,42.3344,-71.027
Allston / Brighton,42.3559,-71.164
Allston / Brighton,42.3559,-71.164
Boston,42.3661,-71.0534
Dorchester,42.3066,-71.0601
Charlestown,42.376,-71.0592
West Roxbury,42.2689,-71.1492
East Boston,42.3794,-71.0387
Beacon Hill,42.36,-71.0635
Greater Mattapan,42.2977,-71.0878
Roxbury,42.3357,-71.0835
Dorchester,42.2866,-71.0743
Downtown,42.3636,-71.0527
West Roxbury,42.2685,-71.1504
South End,42.3428,-71.0724
South End,42.3431,-71.0728
Allston / Brighton,42.3422,-71.152
Allston / Brighton,42.3422,-71.152
South End,42.3428,-71.0743
Roxbury,42.3139,-71.0785
Dorchester,42.2923,-71.0743
Dorchester,42.2923,-71.0743
Dorchester,42.2923,-71.0742
Dorchester,42.2923,-71.0742
Brighton,42.3594,-71.0587
Dorchester,42.3594,-71.0587
Dorchester,42.3126,-71.0546
Dorchester,42.3594,-71.0587
Allston / Brighton,42.3466,-71.1517
Roxbury,42.3204,-71.0822
Allston / Brighton,42.3464,-71.1507
Dorchester,42.2958,-71.0526
Roslindale,42.2875,-71.1207
East Boston,42.3656,-71.0295
West Roxbury,42.2901,-71.1415
East Boston,42.3789,-71.0289
South Boston,42.3406,-71.0522
Roxbury,42.3443,-71.0617
Dorchester,42.2964,-71.0848
Roxbury,42.3381,-71.0805
South Boston,42.3344,-71.0339
Dorchester,42.3013,-71.077
Mission Hill,42.3316,-71.1116
Mission Hill,42.3298,-71.1023
Dorchester,42.3038,-71.0753
South End,42.3594,-71.0587
Dorchester,42.2923,-71.0743
Greater Mattapan,42.2885,-71.0907
Downtown,42.3594,-71.0587
Jamaica Plain,42.3066,-71.1115
Roxbury,42.3379,-71.0801
Dorchester,42.2964,-71.0848
Charlestown,42.3594,-71.0587
Mission Hill,42.3351,-71.0929
Roxbury,42.3594,-71.0587
Roxbury,42.3379,-71.0802
Beacon Hill,42.3594,-71.0587
Dorchester,42.3594,-71.0587
Allston / Brighton,42.3607,-71.1298
Back Bay,42.3558,-71.0723
Roxbury,42.3108,-71.0793
Boston,42.3491,-71.0683
Dorchester,42.3135,-71.0556
West Roxbury,42.26,-71.1501
Downtown,42.3594,-71.0587
Charlestown,42.3769,-71.0646
Roxbury,42.3206,-71.077
Allston / Brighton,42.3582,-71.1355
South Boston,42.3325,-71.0316
Charlestown,42.376,-71.0623
Dorchester,42.3209,-71.0649
Jamaica Plain,42.3047,-71.1095
Dorchester,42.2833,-71.0687
Allston / Brighton,42.3396,-71.1465
South Boston,42.3282,-71.053
West Roxbury,42.2904,-71.1526
Roxbury,42.3379,-71.0801
South Boston,42.3333,-71.032
